Molecule ChEMBL ID,Smiles,Molecular Weight,#RO5 Violations,Standard Type,Standard Value,Standard Units,Bioactivity Class
CHEMBL307581,CO[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,302.46,0.0,IC50,0.12,nM,Active
CHEMBL159073,O=c1c2ccccc2oc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,321.29,0.0,IC50,40.0,nM,Active
CHEMBL2442754,Cc1cc(CO)c2ccc3[nH]ccc3c2n1,212.25,0.0,IC50,4152.0,nM,Inactive
CHEMBL88842,CCCC[C@]1(c2ccncc2)CCC(=O)NC1=O,246.31,0.0,IC50,4000.0,nM,Inactive
CHEMBL319026,CC1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,273.38,0.0,IC50,96.0,nM,Active
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,232.28,0.0,IC50,6400.0,nM,Inactive
CHEMBL3359963,N#Cc1cccc(COc2ccc(C(=O)Cn3ccnc3)cc2)c1,317.35,0.0,IC50,4566.0,nM,Inactive
CHEMBL1688892,O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2o1,400.36,0.0,IC50,235.0,nM,Intermediate
CHEMBL1688891,O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc(F)c3)cc2o1,350.35,0.0,IC50,113.0,nM,Intermediate
CHEMBL307160,O=c1c2ccccc2oc2c([N+](=O)[O-])ccc(Cn3ccnc3)c12,321.29,0.0,IC50,970.0,nM,Intermediate
CHEMBL3622066,Cn1cc(CCN(c2ccc(C#N)cc2)n2cnnc2)c2cc(OS(N)(=O)=O)ccc21,437.49,0.0,IC50,2.3,nM,Active
CHEMBL1444,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,285.31,0.0,IC50,0.89,nM,Active
CHEMBL3421785,O=[N+]([O-])c1ccc(Cc2cccnc2)c(OCCc2ccccc2)c1,334.38,0.0,IC50,128.0,nM,Intermediate
CHEMBL1200374,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,296.41,0.0,IC50,50.0,nM,Active
CHEMBL1688906,O=c1cc(Cn2ccnc2)c2ccc(Oc3ccc(Cl)cc3)cc2o1,352.78,0.0,IC50,112.0,nM,Intermediate
CHEMBL1688910,O=c1cc(Cn2ccnc2)c2ccc(Oc3cc(F)cc(F)c3)cc2o1,354.31,0.0,IC50,70.0,nM,Active
CHEMBL41761,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,319.38,0.0,IC50,41.0,nM,Active
CHEMBL92065,O=C1c2ccccc2CCC1Cc1ccncc1,237.3,0.0,IC50,4300.0,nM,Inactive
CHEMBL41429,CCN1CCc2cccc(C(c3ccc(F)cc3)n3cncn3)c21,322.39,0.0,IC50,2900.0,nM,Inactive
CHEMBL55144,c1cn(CCC2CCCc3occc32)cn1,216.28,0.0,IC50,920.0,nM,Intermediate
CHEMBL2235951,COc1ccc(/C=C2\Cc3ccccc3C2=O)cc1OCCCn1ccnc1,374.44,0.0,IC50,1340.0,nM,Inactive
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,232.28,0.0,IC50,18500.0,nM,Inactive
CHEMBL224787,COc1ccc2c(-c3ccccc3)c(Cn3ccnc3)c(=O)oc2c1,332.36,0.0,IC50,107.15,nM,Intermediate
CHEMBL53068,C1=C(Cn2ccnc2)c2cccnc2CC1,211.27,0.0,IC50,169.82,nM,Intermediate
CHEMBL55083,C(\Cn1ccnc1)=C1\CCCc2occc21,214.27,0.0,IC50,2398.83,nM,Inactive
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,228.25,0.0,IC50,25003.45,nM,Inactive
CHEMBL151691,CN1C(=O)CC(C)(c2ccc(N)cc2)C1=O,218.26,0.0,IC50,15660.0,nM,Inactive
